kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_depth_missing,koi_prad_missing,koi_srad_missing,koi_steff_missing,koi_slogg_missing
K06927.01,FALSE POSITIVE,501.07647447,3.21,70.8,1.08,5780.0,4.438,1.0,14.795,1,1,1,1,1
K06928.01,FALSE POSITIVE,1.72933255,3.631,29.7,0.69,5921.0,4.22,1.211,13.07,0,0,0,0,0
K06929.01,FALSE POSITIVE,1.729338354,6.8524,140160.0,139.36,5587.0,3.754,2.553,11.679,0,0,0,0,0
K06930.01,FALSE POSITIVE,0.567493852,1.35349,7984.0,65.47,6370.0,4.053,1.548,13.205,0,0,0,0,0
K06931.01,CANDIDATE,2.54031121,1.83,173.3,1.2,5778.0,4.531,0.911,15.921,0,0,0,0,0
K06932.01,FALSE POSITIVE,2.105238039,5.23595,94675.0,75.1,5947.0,3.943,1.885,13.796,0,0,0,0,0
K06933.01,FALSE POSITIVE,7.226944171,23.0124,682180.0,237.79,6270.0,4.199,1.36,13.27,0,0,0,0,0
K07059.01,FALSE POSITIVE,31.973311701,13.2105,75054.0,272.44,7854.0,3.669,3.462,8.5,0,0,0,0,0
K07060.01,FALSE POSITIVE,1.64125844,4.51,70.8,1.08,5780.0,4.438,1.0,14.97,1,1,1,1,1
K07061.01,CANDIDATE,1.371587993,12.901,456.1,4.91,7045.0,4.154,1.604,13.104,0,0,0,0,0
K07062.01,FALSE POSITIVE,20.849919614,13.7687,313090.0,2912.48,7355.0,4.042,1.984,13.04,0,0,0,0,0
K07063.01,FALSE POSITIVE,15.120212531,3.50007,24616.0,33.11,5232.0,4.554,0.725,15.166,0,0,0,0,0
K07064.01,FALSE POSITIVE,3.481657589,4.75315,347010.0,78.24,6225.0,4.191,1.291,13.396,0,0,0,0,0
K07065.01,FALSE POSITIVE,0.739769962,1.95901,20729.0,82.29,6465.0,3.947,1.847,11.634,0,0,0,0,0
K07066.01,FALSE POSITIVE,6.570421193,4.4698,60118.0,33.99,5812.0,4.484,0.908,15.299,0,0,0,0,0
K07067.01,FALSE POSITIVE,0.541405029,2.7481,327660.0,125.64,5096.0,3.889,1.782,14.771,0,0,0,0,0
K07193.01,FALSE POSITIVE,2.17814186,1.988,127.7,0.92,5101.0,4.506,0.84,15.458,0,0,0,0,0
K07194.01,FALSE POSITIVE,10.54884842,1.17,70.8,1.08,5780.0,4.438,1.0,14.184,1,1,1,1,1
K07195.01,CANDIDATE,5.89773974,2.243,77.9,1.0,6300.0,4.371,1.126,14.742,0,0,0,0,0
K07196.01,FALSE POSITIVE,0.609662423,4.24033,140920.0,110.14,7498.0,3.964,2.274,12.216,0,0,0,0,0
K07197.01,CANDIDATE,1.74145041,1.712,370.6,1.46,5238.0,4.598,0.764,16.269,0,0,0,0,0
K07198.01,FALSE POSITIVE,0.953299962,1.69478,2236.6,35.67,6183.0,4.407,1.02,14.538,0,0,0,0,0
K07199.01,CANDIDATE,20.2944118,0.357,453.9,774.73,5865.0,4.518,0.918,15.919,0,0,0,0,0
K07200.01,FALSE POSITIVE,2.745640575,3.04508,45265.0,47.22,5780.0,4.438,1.0,15.945,0,0,0,0,0
K07327.01,CANDIDATE,17.9908273,1.436,660.0,1.88,4918.0,4.546,0.752,15.864,0,0,0,0,0
K07328.01,FALSE POSITIVE,12.180721266,4.15602,414950.0,63.25,5750.0,4.538,0.882,15.386,0,0,0,0,0
K07329.01,FALSE POSITIVE,50.467024395,8.96181,103140.0,52.88,6137.0,4.448,1.012,14.884,0,0,0,0,0
K07330.01,CANDIDATE,198.11309,15.59,53.3,1.09,6163.0,4.144,1.486,11.909,0,0,0,0,0
K07331.01,FALSE POSITIVE,0.84986054,1.3875,6571.5,67.45,5164.0,3.949,1.676,14.319,0,0,0,0,0
K07332.01,FALSE POSITIVE,0.933728196,3.441,67.7,0.85,6170.0,4.43,1.032,15.317,0,0,0,0,0
K07333.01,FALSE POSITIVE,2.03742712,3.939,36.0,0.9,6356.0,4.215,1.358,13.929,0,0,0,0,0
K07334.01,FALSE POSITIVE,5.274819905,4.6688,108960.0,100.89,7247.0,4.111,1.834,12.465,0,0,0,0,0
K07458.01,FALSE POSITIVE,0.527678272,2.33166,247740.0,75.31,5321.0,4.069,1.475,10.834,0,0,0,0,0
K07459.01,FALSE POSITIVE,3.55027051,1.879,212.7,1.15,5497.0,4.581,0.8,15.81,0,0,0,0,0
K07460.01,CANDIDATE,5.70509519,1.58,283.6,1.58,5455.0,4.448,0.927,15.597,0,0,0,0,0
K07461.01,FALSE POSITIVE,65.4317194,12.2384,153410.0,59.22,6201.0,4.431,1.04,15.54,0,0,0,0,0
K07462.01,FALSE POSITIVE,1.718649321,3.94095,190570.0,39.08,6071.0,4.541,0.865,13.51,0,0,0,0,0
K07463.01,FALSE POSITIVE,7.2949175,41.04,182.8,11.67,5289.0,4.614,0.731,15.848,0,0,0,0,0
K07464.01,FALSE POSITIVE,7.2935801,40.02,124.5,17.41,5900.0,4.509,0.951,14.973,0,0,0,0,0
K07465.01,FALSE POSITIVE,42.9261364,2.578,378.4,1.84,5628.0,4.503,0.953,15.395,0,0,0,0,0
K06279.01,FALSE POSITIVE,1.89129338,5.677,33.8,0.42,4986.0,4.558,0.733,13.558,0,0,0,0,0
K06280.01,FALSE POSITIVE,1.89124453,5.08,31.0,1.19,5850.0,3.72,1.977,12.76,0,0,0,0,0
K06281.01,FALSE POSITIVE,1.89134201,4.674,128.9,0.92,5658.0,4.567,0.815,15.799,0,0,0,0,0
K06282.01,FALSE POSITIVE,87.87826191,12.8138,339060.0,110.85,5784.0,3.985,1.642,12.744,0,0,0,0,0
K06283.01,FALSE POSITIVE,15.926632768,7.42888,271860.0,57.95,5496.0,4.471,0.917,14.88,0,0,0,0,0
K06284.01,FALSE POSITIVE,0.958116585,2.3496,2374.1,49.16,6032.0,4.147,1.365,12.735,0,0,0,0,0
K06285.01,FALSE POSITIVE,39.841522897,8.79024,143680.0,116.52,6078.0,3.946,2.07,12.003,0,0,0,0,0
K06286.01,FALSE POSITIVE,1.891268461,8.24958,641910.0,399.93,11287.0,3.642,4.662,10.672,0,0,0,0,0
K06287.01,FALSE POSITIVE,1.89114441,8.724,49.9,6.57,4267.0,4.637,0.627,13.814,0,0,0,0,0
K06411.01,FALSE POSITIVE,61.25964956,12.1777,233260.0,54.72,5912.0,4.532,0.889,15.518,0,0,0,0,0
K06412.01,FALSE POSITIVE,0.872359598,3.74512,267050.0,67.08,6240.0,4.391,1.048,14.742,0,0,0,0,0
K06413.01,FALSE POSITIVE,374.318792,5.96,1541400.0,243.21,5997.0,4.572,0.815,15.369,0,0,0,0,0
K06414.01,FALSE POSITIVE,5.627911313,7.08223,434330.0,81.61,6280.0,4.361,1.115,13.858,0,0,0,0,0
K06415.01,FALSE POSITIVE,0.62927655,0.9698,839.5,4.64,5628.0,4.388,0.976,14.027,0,0,0,0,0
K06416.01,FALSE POSITIVE,1.22578134,2.235,99376.0,53.32,5780.0,4.438,1.0,17.431,0,0,0,0,0
K06417.01,FALSE POSITIVE,0.751408792,2.2974,17481.0,41.48,5697.0,4.46,0.903,15.596,0,0,0,0,0
K06418.01,FALSE POSITIVE,0.866344816,1.9188,233.6,6.85,4936.0,3.055,4.527,12.945,0,0,0,0,0
K06419.01,FALSE POSITIVE,2.24294107,2.532,39.4,0.75,6082.0,4.195,1.184,13.182,0,0,0,0,0
K06535.01,FALSE POSITIVE,0.950487062,2.9283,11.5,1.35,8107.0,3.698,3.385,11.633,0,0,0,0,0
K06536.01,FALSE POSITIVE,5.579631021,3.38646,118320.0,90.32,6188.0,4.427,1.022,15.473,0,0,0,0,0
K06537.01,FALSE POSITIVE,21.37831102,21.7174,80571.0,97.23,4905.0,3.3,3.484,13.998,0,0,0,0,0
K06538.01,CANDIDATE,129.847318,13.057,198.4,1.45,6133.0,4.427,1.032,14.52,0,0,0,0,0
K06539.01,FALSE POSITIVE,0.541396363,2.384,181.0,2.04,7118.0,4.212,1.489,12.509,0,0,0,0,0
K06540.01,FALSE POSITIVE,0.550509602,1.1836,123.5,5.02,4891.0,3.169,4.529,13.355,0,0,0,0,0
K06541.01,FALSE POSITIVE,2.404293523,4.4649,8150.9,888.7,4697.0,2.204,17.032,13.094,0,0,0,0,0
K06542.01,CANDIDATE,0.8867443,3.16,70.8,1.08,5780.0,4.438,1.0,11.27,1,1,1,1,1
K06669.01,FALSE POSITIVE,25.836831272,6.32201,145040.0,50.72,5691.0,4.477,0.897,13.347,0,0,0,0,0
K06670.01,FALSE POSITIVE,0.94895231,3.952,57.7,2.51,6661.0,3.666,3.067,12.669,0,0,0,0,0
